taxon,classification
Camelus_dromedarius,Artiodactyla
Canis_adustus,Carnivora
Canis_aureus,Carnivora
Canis_latrans,Carnivora
Canis_lupus,Carnivora
Bos_frontalis,Artiodactyla
Bos_grunniens,Artiodactyla
Bos_javanicus,Artiodactyla
Callicebus_cupreus,Primates
Callicebus_donacophilus,Primates
Callicebus_dubius,Primates
Callicebus_hoffmannsi,Primates
Callicebus_modestus,Primates
Caluromys_derbianus,Ameridelphia
Caluromys_lanatus,Ameridelphia
Caluromys_philander,Ameridelphia
Caluromysiops_irrupta,Ameridelphia
Calyptophractus_retusus,Xenarthra
Camelus_bactrianus,Artiodactyla
Bos_sauveli,Artiodactyla
Bos_taurus,Artiodactyla
Boselaphus_tragocamelus,Artiodactyla
Canis_mesomelas,Carnivora
Canis_simensis,Carnivora
Cannomys_badius,Rodentia
Caperea_marginata,Cetacea
Capra_caucasica,Artiodactyla
Capra_falconeri,Artiodactyla
Capra_hircus,Artiodactyla
Capra_ibex,Artiodactyla
Atelerix_algirus,Eulipotyphla
Atelerix_frontalis,Eulipotyphla
Ateles_belzebuth,Primates
Ateles_chamek,Primates
Ateles_fusciceps,Primates
Ateles_geoffroyi,Primates
Ateles_marginatus,Primates
Ateles_paniscus,Primates
Callicebus_moloch,Primates
Callicebus_oenanthe,Primates
Callicebus_olallae,Primates
Callicebus_personatus,Primates
Callicebus_torquatus,Primates
Callimico_goeldii,Primates
Callistomys_pictus,Rodentia
Callithrix_argentata,Primates
Callithrix_aurita,Primates
Callithrix_emiliae,Primates
Callithrix_flaviceps,Primates
Callithrix_geoffroyi,Primates
Callithrix_humeralifera,Primates
Callithrix_intermedia,Primates
Callithrix_jacchus,Primates
Callithrix_kuhlii,Primates
Callithrix_mauesi,Primates
Callithrix_nigriceps,Primates
Callithrix_penicillata,Primates
Callithrix_pygmaea,Primates
Callorhinus_ursinus,Carnivora
Callosciurus_adamsi,Rodentia
Callosciurus_baluensis,Rodentia
Callosciurus_caniceps,Rodentia
Callosciurus_erythraeus,Rodentia
Callosciurus_melanogaster,Rodentia
Callosciurus_nigrovittatus,Rodentia
Callosciurus_notatus,Rodentia
Callosciurus_orestes,Rodentia
Callosciurus_prevostii,Rodentia
Calomys_boliviae,Rodentia
Calomys_callidus,Rodentia
Calomys_callosus,Rodentia
Calomys_expulsus,Rodentia
Calomys_hummelincki,Rodentia
Calomys_laucha,Rodentia
Calomys_lepidus,Rodentia
Calomys_musculinus,Rodentia
Calomys_sorellus,Rodentia
Calomys_tener,Rodentia
Calomys_venustus,Rodentia
Calomyscus_bailwardi,Rodentia
Calomyscus_mystax,Rodentia
Caloprymnus_campestris,Diprotodontia
Atelocynus_microtis,Carnivora
Atherurus_africanus,Rodentia
Atherurus_macrourus,Rodentia
Atilax_paludinosus,Carnivora
Atlantoxerus_getulus,Rodentia
Auliscomys_boliviensis,Rodentia
Auliscomys_pictus,Rodentia
Auliscomys_sublimis,Rodentia
Avahi_laniger,Primates
Avahi_occidentalis,Primates
Axis_axis,Artiodactyla
Axis_calamianensis,Artiodactyla
Axis_kuhlii,Artiodactyla
Axis_porcinus,Artiodactyla
Babyrousa_babyrussa,Artiodactyla
Balaenoptera_musculus,Cetacea
Balaenoptera_physalus,Cetacea
Balantiopteryx_io,Chiroptera
Balantiopteryx_plicata,Chiroptera
Balionycteris_maculata,Chiroptera
Bandicota_bengalensis,Rodentia
Bandicota_indica,Rodentia
Cephalophus_niger,Artiodactyla
Cephalophus_nigrifrons,Artiodactyla
Cephalophus_ogilbyi,Artiodactyla
Cephalophus_rufilatus,Artiodactyla
Cephalophus_silvicultor,Artiodactyla
Cephalophus_spadix,Artiodactyla
Cephalophus_weynsi,Artiodactyla
Cephalophus_zebra,Artiodactyla
Cephalorhynchus_commersonii,Cetacea
Cephalorhynchus_eutropia,Cetacea
Cephalorhynchus_heavisidii,Cetacea
Cephalorhynchus_hectori,Cetacea
Ceratotherium_simum,Perissodactyla
Cercartetus_caudatus,Diprotodontia
Cercartetus_concinnus,Diprotodontia
Cercartetus_lepidus,Diprotodontia
Cercartetus_nanus,Diprotodontia
Cercocebus_agilis,Primates
Cercocebus_atys,Primates
Cercocebus_galeritus,Primates
Cercocebus_torquatus,Primates
Cercopithecus_albogularis,Primates
Cercopithecus_ascanius,Primates
Cercopithecus_campbelli,Primates
Cercopithecus_cephus,Primates
Cercopithecus_denti,Primates
Cercopithecus_diana,Primates
Cercopithecus_dryas,Primates
Cercopithecus_erythrogaster,Primates
Cercopithecus_erythrotis,Primates
Cercopithecus_lhoesti,Primates
Cercopithecus_mitis,Primates
Cercopithecus_mona,Primates
Cercopithecus_neglectus,Primates
Cercopithecus_nictitans,Primates
Cercopithecus_petaurista,Primates
Cercopithecus_pogonias,Primates
Cercopithecus_preussi,Primates
Cercopithecus_sclateri,Primates
Cercopithecus_solatus,Primates
Cercopithecus_wolfi,Primates
Cerdocyon_thous,Carnivora
Cervus_elaphus,Artiodactyla
Cervus_nippon,Artiodactyla
Chaerephon_ansorgei,Chiroptera
Chaerephon_bivittatus,Chiroptera
Chaerephon_jobensis,Chiroptera
Chaerephon_major,Chiroptera
Chaerephon_nigeriae,Chiroptera
Chaerephon_plicatus,Chiroptera
Chaerephon_pumilus,Chiroptera
Chaerephon_russatus,Chiroptera
Chaerephon_tomensis,Chiroptera
Chaeropus_ecaudatus,other Australidelphia
Chaetocauda_sichuanensis,Rodentia
Chaetodipus_arenarius,Rodentia
Chaetodipus_baileyi,Rodentia
Chaetodipus_californicus,Rodentia
Chaetodipus_fallax,Rodentia
Chaetodipus_formosus,Rodentia
Chaetodipus_hispidus,Rodentia
Chaetodipus_intermedius,Rodentia
Chaetodipus_lineatus,Rodentia
Chaetodipus_nelsoni,Rodentia
Chaetodipus_penicillatus,Rodentia
